Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
TPD Training Precision Device,https://www.crunchbase.com/organization/tpd-training-precision-device,Private,For Profit,"Industrial Manufacturing, Wholesale",,"Gemonio, Lombardia, Italy","3,773,244",,"3,673,359",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Manufacturing",,,,,,"TPD Training Precision Device is a colour display mounted on a weapon. Because it uses its own display directly fixed on the weapon, their device also allows them to do training sessions while keeping all parameters at their fingertips and without distracting themselves from the weapon or target.",+39 348 655 4331,info@tpd-company.com,,https://www.tpd-company.com/,,,,,2020-01-01,year,Active,TPD Training Precision Device is a weapon-mounted stand-alone device with a colour display.,,21036,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TP Food Group,https://www.crunchbase.com/organization/tp-food-group,Private,For Profit,"Food and Beverage, Food Processing, Machinery Manufacturing",251-500,"Bosco, Veneto, Italy","686,092",,"649,549",,,,,,,,,,,,,,,,,Acquisition,,,,2024-10-23,day,Paragon Partners,https://www.crunchbase.com/organization/paragon-partners,TP Food Group acquired by Paragon Partners,https://www.crunchbase.com/acquisition/paragon-partners-acquires-tp-food-group--3eb01c91,Was Acquired,,,,,,,,,,,,,,,,,M&A,,,,"Food and Beverage, Manufacturing",,,,,,"TP Food Group is a Provider of food processing equipment and production lines, with a focus on industrial and artisanal baking.",,,https://www.linkedin.com/company/tp-food-group/about/,https://tpfoodgroup.com,,,2024-10-23,day,2019-01-01,year,Active,"TP Food Group is a Provider of food processing equipment and production lines, with a focus on industrial and artisanal baking.",,35010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Townfoods,https://www.crunchbase.com/organization/townfoods,Private,For Profit,"Delivery, Food and Beverage, Supply Chain Management",1-10,"Pollenza, Marche, Italy","3,316,904",,"3,231,428",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Food and Beverage, Transportation",,,,,,"Townfoods is an automated route for the distribution of zero-kilometer and regional goods. They support micro and small productions, short supply chains, and want to favor local producers who want to reduce waste of time, costs, and waste by guaranteeing their products' visibility, localization in areas with strong tourist and non-tourist traffic, and ease of marketing.",+39 3482942133,info@townfoods.it,https://www.linkedin.com/company/townfoods/,https://www.townfoods.it,,,,,2019-01-01,year,Active,Townfoods is an automatic distribution channel for zero-kilometer and local products .,$1M to $10M,12042,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TOW 80 - ServiceNow Consulting,https://www.crunchbase.com/organization/tow-80-servicenow-consulting,Private,For Profit,,,"Roma, Lazio, Italy","3,721,097",,"3,623,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tow80consulting.com/,,,,,2019-01-01,year,Active,"TOW 80 is a dynamic and innovative consulting company, capable of offering a 360 ° service ranging from consultancy on processes.",,142,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Tour My Table,https://www.crunchbase.com/organization/tour-my-table,Private,For Profit,"Apps, Food and Beverage, Tourism, Travel",11-50,"Cagliari, Sardegna, Italy","3,512,442",,"3,421,360",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Food and Beverage, Software, Travel and Tourism",,,,,,"Tour My Table offers a mobile app. It contributes to making the territories more hospitable and serveable. This app is used to find out which inhabitants are in the house and send a knock to ask for hospitality or a packed lunch. The host, who will establish a contribution to expenses, will cook for travelers who will eat at a table or who will collect a packed meal prepared by the concern.",,info@tourmytable.com,https://www.linkedin.com/company/tourmytable,https://www.tourmytable.com,,,,,2021-01-01,year,Active,Tour My Table is a social eating community for remote and responsible travelers.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Totem,https://www.crunchbase.com/organization/totem-34de,Private,For Profit,"Consulting, Content, Data Management, Digital Marketing, E-Commerce, Graphic Design",1-10,"Udine, Friuli-Venezia Giulia, Italy","1,783,980",,"1,723,415",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Design, Media and Entertainment, Professional Services, Sales and Marketing",,,,,,,,info@totemonline.com,https://www.linkedin.com/company/totem-snc,https://ee.totemonline.com,,,,,2019-06-07,day,Active,"Totem provides a complete e-commerce solution that includes graphic design, content management, web marketing, data management solutions.",Less than $1M,33100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ToSwim,https://www.crunchbase.com/organization/toswim,Private,For Profit,"News, Swimming, Training",1-10,"Torino, Piemonte, Italy","1,881,430",,"1,819,416",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Education, Media and Entertainment, Sports",,,,,,"ToSwim application contains messaging services, swimming information, training, events, marketplaces, and communities. ToSwim allows the secretariats of swimming pools and sports centers to communicate directly with their users and allows the swimming teams to communicate with their athletes.",+39 3355816410,,https://www.linkedin.com/company/toswim/,https://www.toswim.io/it/bacheca/,,,,,2019-01-01,year,Active,ToSwim is a digital ecosystem for swimming that offers training sessions and knowledge sharing solutions.,,10141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Toratora,https://www.crunchbase.com/organization/toratora,Private,For Profit,"Tourism, Travel, Travel Agency",1-10,"Roma, Lazio, Italy","1,364,453",,"1,310,721",,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel and Tourism,,,,,,"Toratora is a travel platform that organizes trips. They offer surprise travel, summer travel packages, and jukebox plans. Toratora arranges hotels, restaurants, and theme parks and provides customer service and budget planning services.",,info@toratoratravel.com,https://www.linkedin.com/company/toratora/,https://www.toratoratravel.com/,,,,,2018-01-01,year,Active,Toratora is a travel and tourism guide platform that offers tour packages and arrangements.,,100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Toradio,https://www.crunchbase.com/organization/toradio,Private,For Profit,"Broadcasting, Events, Media and Entertainment, Podcast",11-50,"Torino, Piemonte, Italy","3,646,335",,"3,550,904",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Events, Media and Entertainment, Music and Audio, Video",,,,,,,+39 0114033522,info@toradio.it,https://www.linkedin.com/company/toradio,https://toradio.it,,,,,2021-01-01,year,Active,"is a radio broadcasting company that specializes in broadcasts, live streams, and podcasts of news events, music, food, and sports.",$1M to $10M,10143,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TopTalent,https://www.crunchbase.com/organization/toptalent,Private,For Profit,"Employment, Human Resources, Staffing Agency",11-50,"Monopoli, Puglia, Italy","3,759,552",,"3,660,237",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Professional Services",,,,,,,+39 3518048558,jobs@toptalent.plus,https://www.linkedin.com/company/top-talent-create-your-future,https://www.toptalent.plus,,,,,2018-01-01,year,Active,TopTalent is an employment agency that provides job search and company recruitment management services.,$50M to $100M,70043,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Top Quality Milling,https://www.crunchbase.com/organization/top-quality-milling,Private,For Profit,"Dental, Industrial, Industrial Engineering",1-10,"Gioia Del Colle, Puglia, Italy","2,306,892",,"2,238,673",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Health Care, Manufacturing, Science and Engineering",,,,,,"TQM designs dental prosthetic systems and manufactures customized goods utilizing cad-cam technology. They design and manufacture semi-finished goods. The company's contact modes are by mail, phone, and physical address.",,segreteria@tqmcnc.com,https://www.linkedin.com/company/tqm-top-quality-milling/,https://tqmcnc.com,,,,,2019-01-01,year,Active,Top Quality Milling manufactures customized products using cad-cam technology and dental prosthetic solutions.,$1M to $10M,70023,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Top Avvocati,https://www.crunchbase.com/organization/top-avvocati,Private,For Profit,"E-Commerce, Internet",1-10,"Abbiategrasso, Lombardia, Italy","2,884,959",,"2,808,155",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Internet Services",,,,,,Forniamo servizi e soluzioni pronti per aumentare la visibilità online per studi legali e avvocati,+39 333-102-6968,info@top-avvocati.it,https://www.linkedin.com/company/top-avvocati,https://top-avvocati.it/,,,,,2019-02-19,day,Active,"Top Avvocati is a law firm that offers legal advice in areas of civil, labor, environmental, criminal, family, tax, and immigration law.",,20081,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Tondini,https://www.crunchbase.com/organization/tondini,Private,For Profit,"Food and Beverage, Grocery, Retail, Wholesale",,"Cavriana, Lombardia, Italy","3,046,435",,"2,966,738",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",,,,,,,+39.0376.804071,info@tondinisrl.it,,https://www.tondinisrl.it,,,,,2021-01-01,year,Active,"Tondini is a retail and wholesale company that provides groceries, food, and beverage products for bars, restaurants, cafes, and hotels.",,46040,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TONALI Energia & Ambiente,https://www.crunchbase.com/organization/tonali-energia-ambiente,Private,For Profit,"Energy, Environmental Consulting, Training",,"Arluno, Lombardia, Italy","3,376,794",,"3,289,722",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Energy, Professional Services",,,,,,,+39 02 90374 309,info@tonaliea.it,https://www.linkedin.com/company/tonali-energia-ambiente,https://www.tonaliea.it/,,,,,2019-08-01,month,Active,TONALI Energia & Ambiente is an energy company that provides continuous cycle sanitation systems for water and indoor systems.,,20004,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Tombolini & Associati,https://www.crunchbase.com/organization/tombolini-associati,Private,For Profit,"Business Development, Construction, Consulting, Information Technology",1-10,"Loreto, Marche, Italy","3,459,578",,"3,370,110",,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Professional Services, Real Estate",,,,,,Tombolini & Associati is a reference to understand and deploy the potential of Open Web and Blockchain technologies applied to non-finance industries. They operate in a programmatically transversal way.,+39 388 492 5303,info@tomboliniassociati.com,https://www.linkedin.com/company/tombolini-associati,https://tomboliniassociati.com,,,,,2019-01-01,year,Active,Tombolini & Associati is a consulting agency for business management.,$1M to $10M,60025,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TO THE CRAZY,https://www.crunchbase.com/organization/to-the-crazy,Private,For Profit,"Analytics, Energy Efficiency, Software",1-10,"Gemona Del Friuli, Friuli-Venezia Giulia, Italy","3,665,653",,"3,569,584",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data and Analytics, Energy, Software, Sustainability",,,,,,"EROE provides research, develops, and manages software and platforms aimed at the collection, aggregation, analysis, monitoring, and reprocessing of energy consumption data. They develop decision-support tools for planning, designing, and monitoring investments in the energy sector. They provide research and development activities complemented by information, training, tutoring, and technical support on products.",+39 0432 1636275,info@eroei.it,,https://eroei.it,,,,,2020-01-01,year,Active,TO THE CRAZY is a data analysis for energy efficiency.,,33013,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
To & From Srls,https://www.crunchbase.com/organization/to-from-srls,Private,For Profit,"Apps, E-Commerce, Gift Registry, Internet, Mobile Apps",1-10,"Roma, Lazio, Italy","3,047,953",,"2,968,232",,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giorgia Argomenti, Giulia Rustico",2.0,"Apps, Commerce and Shopping, Internet Services, Mobile, Software",,,,,,"To & From is an app for choosing gifts. It allows users to send and receive gifts creatively and engagingly through a social e-gifting marketplace app. With their technology, they solve all problems related to giving and receiving gifts, making it possible for users to celebrate loved ones, their milestones, and birthdays while making them feel special.",,info@giftstoandfrom.com,https://www.linkedin.com/company/giftstoandfrom/,https://giftstoandfrom.com/,,,,,2020-01-01,year,Active,To & From is the app for giving gift selections.,,147,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TMAC,https://www.crunchbase.com/organization/tmac-059b,Private,For Profit,"Machinery Manufacturing, Manufacturing, Product Design",11-50,"Massa, Marche, Italy","3,503,436",,"3,412,646",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Design, Manufacturing",,,,,,,+39 0585 28 10 15,service@tmac-cnc.it,https://www.linkedin.com/company/tmac-srl,https://www.tmac-cnc.it,,,,,2018-01-01,year,Active,TMAC is a production of bridge saws and machinery for marble and synthetic stones.,$1M to $10M,54100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TIVALE.IT,https://www.crunchbase.com/organization/equs,Private,For Profit,"Automotive, Electric Vehicle",11-50,"Carnate, Lombardia, Italy","2,276,533",,"2,208,764",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation,,,,,,"TIVALE.IT  enables users to certify how much the car will be worth over time, even up to years enables user to utilize the equipment and options that bought with the automobile and sell it for the highest price. Anyone can transfer the assurance to a private buyer if they choose to sell. It will be easy to reach an improved price and project a more reliable and realistic future value. Additionally available on the market are cash dispensers, and with numerous touch points that enhance the advantages, users may increase the ability to save money, enhance their usage, and safeguard the buy. The car, in their opinion, is more than just an item.",+39 800 94 22 68,info@equs.eu,https://www.linkedin.com/company/equsitalia/,https://tivale.it,,,,,2018-01-01,year,Active,TIVALE.IT guides to buy cars.,,22060,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Titolare Top,https://www.crunchbase.com/organization/titolare-top,Private,For Profit,"Books, E-Learning, Education, Training",1-10,"Parma, Emilia-Romagna, Italy","3,698,233",,"3,601,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Education, Media and Entertainment, Software",,,,,,,39 340 504 4365,info@titolaretop.com,https://www.linkedin.com/company/titolare-top,https://titolaretop.it,,,,,2018-01-01,year,Active,Titolare Top offers training for real estate agency owners to enhance business success.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Titanium Ideas,https://www.crunchbase.com/organization/titanium-ideas-7ea7,Private,For Profit,"Graphic Design, Marketing, Web Development",1-10,"Sassuolo, Emilia-Romagna, Italy","2,835,626",,"2,759,633",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elisabetta Magnani, Luca Grassi",2.0,"Design, Sales and Marketing, Software",,,,,,"Titanium Ideas observes and analyzes websites and the online communication of social networks. They combine the method of physics, scientific logic, and the originality of creativity to provide innovative solutions in step with the digital world. They observe websites and the online communication of social networks. They offer brand communication, digital marketing, web solutions, and identity path.",+39 340 230 1885,info@titaniumideas.it,https://www.linkedin.com/company/titaniumideas/,https://www.titaniumideas.it,,,,,2019-01-01,year,Active,Titanium Ideas is an identity lab that observes websites and the online communication of social networks.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Titanium Challenge,https://www.crunchbase.com/organization/titanium-challenge,Private,For Profit,"Consulting, Marketing",1-10,"Pescia, Toscana, Italy","1,619,698",,"1,561,673",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"360 Capital, Italian Angels for Growth",,,,Angel,,,,Angel,,,,2021-09-10,Seed,1.0,Andrea Venuti,1.0,"Professional Services, Sales and Marketing",,,,,,"The Titanium Challenge was born between 2019 and 2020. A product of ever-moving, dynamic and creative minds. From the love of sport, dedication and above all, passion, true passion, came an idea that revolutionises the classic Triathlon. Titanium consists of mixed disciplines, that are not in succession as in the classic triathlon. A cycle followed by a run, back on the bike and then another run. The Titanium Challenge includes running on (beach) sand, this discipline gives life to a new sort of unconventional triathlon.  Our Challenge is characterised by the lack of strategy as in the triathlon, because each discipline is proposed more than once, transforming the classic dynamics and stratagems. Only strength, training and the mind matters, in other words: THE POWER OF OURSELVES",+393487927238,info@titaniumchallenge.it,https://www.linkedin.com/company/titaniumchallenge,https://www.titaniumchallenge.it,,,,,2020-02-01,day,Active,Unconventional Triathlon,,51017,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Titan4,https://www.crunchbase.com/organization/titan4,Private,For Profit,"Information Technology, Mapping Services, Navigation, Software",11-50,"Roma, Lazio, Italy","695,212",,"658,348",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Cruciani,1.0,"Information Technology, Navigation and Mapping, Software",,,,,,"Titan4 provides products and services based on research combining different satellite data and sources for applications. They also provide development and integration, InSAR data analysis and data mining, geological analysis, and deep learning analytic services.",,,https://www.linkedin.com/company/titan4/,https://titan4.it,,,,,2019-01-01,year,Active,Titan4 provides satellite data processing for land infrastructure monitoring.,,131,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TiSvapo,https://www.crunchbase.com/organization/tisvapo-it,Private,For Profit,"Commercial, Consumer Goods, E-Commerce, Retail",1-10,"Qualiano, Campania, Italy","1,616,557",,"1,558,586",,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Other",,,,,,,,info@tisvapo.it,https://www.linkedin.com/company/tisvapo,https://www.tisvapo.it/,,,,,2018-01-22,day,Active,"TiSvapo is a retail company that offers complete kits, accessories and spare parts for electronic cigarettes.",$1M to $10M,80019,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TIS innovation park,https://www.crunchbase.com/organization/tis-innovation-park,Private,For Profit,"Consulting, Information Technology",51-100,"Borzago, Trentino-Alto Adige, Italy","2,670,488",,"2,597,096",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Professional Services",,,,,,"Do you need help in realizing a project in the fields of technology and innovation? Then you have come to the right place. We are here to help, support and improve your innovation process, increase your technological competence and competitiveness. We offer support in the launch of your business, product development, know-how and technology transfer in conjunction with networking with other companies and partners in sectors such as Victuals, Wellness, Energy and Environment, Alpine Technologies (such as Wood, Construction, Sports and Winter Technologies, Civil Defense and Alpine Safety) as well as Free Software and Open Technologies.",+39 0471 068000,info@tis.bz.it,https://www.linkedin.com/company/tis-innovation-park,http://tis.bz.it/en?set_language=en,,,,,2019-01-01,year,Active,"We are here to help, support and improve your innovation process, increase your technological competence and competitiveness.",$10M to $50M,39100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Time2Enjoy,https://www.crunchbase.com/organization/time2enjoy,Private,For Profit,"Construction, Leisure, Media and Entertainment",,"Milano, Lombardia, Italy","3,083,500",,"3,003,110",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community and Lifestyle, Media and Entertainment, Real Estate",,,,,,"Time2Enjoy creates, builds, and operates indoor and outdoor entertainment areas for entertainment operators, and investors interested in the entertainment sector, and manages new creations for third parties. It is constructing a network of multi-leisure centers.",+39 02 80898025,sales@time2enjoy.eu,,https://time2enjoy.eu,,,,,2018-01-01,year,Active,"Time2Enjoy designs, builds, and operates indoor and outdoor entertainment areas.",,20129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Time for Planet,https://www.crunchbase.com/organization/time-for-planet,Private,For Profit,"Consumer Goods, Manufacturing, Product Design",1-10,"Lucca, Toscana, Italy","3,012,760",,"2,933,658",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Consumer Goods, Design, Manufacturing",,,,,,Time for Planet proposes a watch that satisfies the desire to own a luxury object while also being aware that it is made with the utmost respect for the biosphere. They include proposing essential packaging and advertising materials and tools with low environmental impact without sacrificing elegance.,+39 02 5515 10460,info@tfpwatch.it,https://www.linkedin.com/company/tfpwatch/,https://www.tfpwatch.it,,,,,2019-01-01,year,Active,"Time for Planet designs, manufactures, and distributes mechanical wrist watches.",,55100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TIFEO,https://www.crunchbase.com/organization/tifeo,Private,For Profit,"Consulting, Energy, Mechanical Engineering",1-10,"Montesilvano, Abruzzi, Italy","2,691,012",,"2,617,308",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Energy, Professional Services, Science and Engineering",,,,,,"TIFEO develops sustainable energy solutions. They offer thermodynamic cycles and related plants enabled by two-phase fluid machines. The system employs an eco-friendly fluid to efficiently convert any renewable thermal source as well as traditional sources into electricity, heating and/or cooling power simultaneously.",+39 3384477059,info@tifeo.eu,https://www.linkedin.com/company/tifeo-srl,https://tifeo.eu,,,,,2018-01-01,year,Active,TIFEO provide consulting services for energy system management and funding programs.,,65015,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Ticopter,https://www.crunchbase.com/organization/ticopter,Private,For Profit,"Civil Engineering, Manufacturing, Product Design, Public Safety",1-10,"Alba, Piemonte, Italy","1,559,824",,"1,502,828",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Design, Government and Military, Manufacturing, Science and Engineering",,,,,,"Ticopter is a manufacturer of road safety products. They research and develop innovative solutions to improve the safety of Italian and international roads. Their products are designed, developed, and engineered in-house. They carry out integration projects between products and the road infrastructure, actively supporting the customers.",+39 3357792090,,https://www.linkedin.com/company/ticopter/,https://www.ticopter.it,,,,,2019-01-01,year,Active,Ticopter is a development and production of road safety products.,$1M to $10M,12051,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Ti Difendo,https://www.crunchbase.com/organization/ti-difendo,Private,For Profit,"Business Development, Consulting, Search Engine",1-10,"Milano, Lombardia, Italy","2,678,019",,"2,604,524",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internet Services, Professional Services",,,,,,"Ti Difendo provides search services to tax, bankruptcy, arrangement plans, over-indebtedness, judicial and extrajudicial defense, payment bills, assessment notices, role extractions., econometric or banking appraisal, banking compound interest, appeals for tax collection, appeal deeds of assessment and appeal of precautionary deeds.",+39 0287178916,,https://www.linkedin.com/company/tidifendo-com,https://www.tidifendo.com,,,,,2018-01-01,year,Active,Ti Difendo provides search engine for lawyers and accountants.,Less than $1M,20146,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Thuja Ethical Antidote,https://www.crunchbase.com/organization/thuja-ethical-antidote,Private,For Profit,"E-Commerce, Fashion, Organic, Social Impact, Sustainability",1-10,"Mantova, Lombardia, Italy","3,137,494",,"3,056,037",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreea Dohotar, Filippo Chiavegato",2.0,"Clothing and Apparel, Commerce and Shopping, Design, Other, Social Impact, Sustainability",,,,,,"Thuja was born from our love for the planet and its animals, for years we have been talking about natural disasters and how the fauna and flora are deteriorated year after year by industries, we are aware of the problems related to ""fast fashion"" and the pollution it causes, we want to oppose. Our products are all exclusively in organic cotton, cotton recycled or recycled polyester, hand-embroidered in Italy and shipped in sustainable packaging. Thuja is a "" ethical antidote "", because our goal is to represent those who believe in sustainability, by donating to associations that deal with safeguarding our planet. We want to provide ideas for ethical choices in every aspect, not just your ro wardrobe , and improve the mutual relationship with the planet.",+39 3345737864,staff@thujantidote.com,https://www.linkedin.com/company/71685328/,https://www.thujantidote.com,,,,,2021-10-14,day,Active,Thuja S.R.L Sustainable clothing made in Italy,,46100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Thrinax Innovations,https://www.crunchbase.com/organization/thrinax-innovations,Private,For Profit,"Industrial, Manufacturing, Mechanical Engineering",,"Erice, Sicilia, Italy","3,515,348",,"3,424,156",,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,,,,"Thrinax Innovations provides services such as design in the field of industrial engineering, certification of products and related production methods, experimental tests, tests on materials and structures, and technical-scientific consultancy services.",,info@thrinaxinnovations.it,,https://www.thrinaxinnovations.it,,,,,2020-01-01,year,Active,Thrinax Innovations provides research and development services for structures and products.,,91016,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Thinking Flows,https://www.crunchbase.com/organization/thinking-flows,Private,For Profit,"Artificial Intelligence (AI), Augmented Reality, Blockchain, Software, Virtual Assistant",1-10,"Feletto Umberto, Friuli-Venezia Giulia, Italy","1,189,444",,"1,139,085",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Other, Science and Engineering, Software",,,,,,"Thinking Flows develops software solutions based on artificial intelligence. They use emerging technologies such as blockchain, augmented reality, and develop customized software, offering their target customer the management of the entire cycle linked to the realization of an idea based on artificial intelligence.",+39 043 248 8663,contact@thinkingflows.com,https://www.linkedin.com/company/thinkingflows,https://www.thinkingflows.com,,,,,2019-01-01,year,Active,"Thinking Flows produces software with technological content, solutions based on artificial intelligence and cloud.",,33100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Things5,https://www.crunchbase.com/organization/things5,Private,For Profit,"Apps, Internet of Things, Software",11-50,"Milano, Lombardia, Italy","1,288,077",,"1,235,765",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Internet Services, Software",,,,,,,+39 02 89954779,hello@visup.co,https://www.linkedin.com/company/things5,https://www.things5.com,,,,,2020-01-01,year,Active,Things5 is an IoT platform that offers software and application tools to connect devices and machines for businesses.,,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
THIENE.ORG,https://www.crunchbase.com/organization/thiene-org,Private,For Profit,"Association, Business Development, Management Consulting, Professional Networking",51-100,"Thiene, Veneto, Italy","3,068,412",,"2,988,301",,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community and Lifestyle, Other, Professional Services",,,,,,,+39 3398006172,info@thiene.org,https://www.linkedin.com/company/thiene-org,https://www.thiene.org,,,,,2020-01-01,year,Active,"THIENE.ORG is an association that provides innovation, entrepreneurship, networking, and consultation services.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
