,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
3197.,PONOS S.R.L.,IT02892610904,02892610904,SS0213103,02892610904,"VIA CRISTOFORO COLOMBO, 8",Sassari,07100,Sardegna,VIA CRISTOFORO COLOMBO 8,Sassari,07100,SARDEGNA,471120,10/12/2021,,Attiva,S.R.L.
3198.,FLASH COMMERCE S.R.L.,IT07009630489,07009630489,FI0672874,07009630489,"VIA CADUTI DI CEFALONIA, 46/48// /5",Firenze,50127,Toscana,VIA CLAUDIO MONTEVERDI 48,Firenze,50144,TOSCANA,464210,06/04/2020,,Attiva,S.R.L.
3199.,DISTRIBUTION PRIVE' S.R.L.,IT10968170968,10968170968,MI2569988,10968170968,"VIA MONTE NAPOLEONE, 8",Milano,20121,Lombardia,VIA MONTE NAPOLEONE 8,Milano,20121,LOMBARDIA,464210,20/09/2019,,Attiva,S.R.L.
3200.,LUCANA PETROLI S.R.L.,IT02139300764,02139300764,PZ0211851,02139300764,VIA NAZIONALE,Potenza,85050,Basilicata,,,,,467100,21/05/2022,,Attiva,S.R.L.
3201.,DFX S.R.L.,IT05154150758,05154150758,LE0345922,05154150758,"STS 275 KM.14,400, SN",Lecce,73030,Puglia,,,,,244200,03/05/2021,,Attiva,S.R.L.
3202.,AMALASPESA - S.R.L.,IT03654400799,03654400799,CZ0206899,03654400799,"VLE MAGNA GRECIA, 57/A",Catanzaro,88100,Calabria,,,,,471130,09/10/2018,,Attiva,S.R.L.
3203.,SERENIS HEALTH S.R.L.,IT11818200963,11818200963,MI2626820,11818200963,"CSO DI PORTA VIGENTINA, 13",Milano,20122,Lombardia,CORSO DI PORTA VIGENTINA 13,Milano,20122,LOMBARDIA,620200,04/06/2021,,Attiva,S.R.L.
3204.,MARLU RETAIL SRL,IT04510410402,04510410402,RN0417668,04510410402,"VLE DANTE ALIGHIERI, 66",Rimini,47838,Emilia-Romagna,VIALE DANTE ALIGHIERI 66,Rimini,47838,EMILIA-ROMAGNA,477836,19/05/2020,,Attiva,S.R.L.
3205.,RIB S.R.L.,IT03255450730,03255450730,TA0203429,03255450730,"VIA GABRIELE D'ANNUNZIO, 14/A",Taranto,74022,Puglia,,,,,812100,21/05/2020,,Attiva,S.R.L.
3206.,GARDEN FRUTTA S.R.L.,IT02695840815,02695840815,TP0190418,02695840815,"VIA VIRGILIO, 1",Trapani,91100,Sicilia,VIA VIRGILIO 1,Trapani,91100,SICILIA,103900,30/04/2018,,Attiva,S.R.L.
3207.,FASTEC SOCIETA' COOPERATIVA,IT01034910149,01034910149,SO0077831,01034910149,"VIA CESURA, 4",Sondrio,23100,Lombardia,VIA CESURA 4,Sondrio,23100,LOMBARDIA,522440,27/11/2019,,Attiva,S.C.A.R.L.P.A.
3208.,BOLOGNA VERDE E SOSTENIBILE - SOCIETA' CONSORTILE A RESPONSABILIT A' LIMITATA,IT03830891200,03830891200,BO0549946,03830891200,"VIA GALLIERA, 14/A",Bologna,40013,Emilia-Romagna,,,,,813000,13/12/2019,,Attiva,Società consortile a responsabilita' limitata
3209.,IMIA FARMACEUTICI S.R.L.,IT09412061211,09412061211,NA1030238,09412061211," SOTTOPASSO DELLA COSTITUZIONE, S.N",Napoli,80143,Campania,SOTTOPASSO DELLA COSTITUZIONE SNC,Napoli,80143,CAMPANIA,463890,13/01/2020,,Attiva,S.R.L.
3210.,TESSUTI CUCCIRELLI & C. HERITAGE 1940 S.R.L.,IT03788280125,03788280125,VA0379058,03788280125,"VIA MASSIMO D'AZEGLIO, 14",Varese,21052,Lombardia,VIA MASSIMO D'AZEGLIO 14,Varese,21052,LOMBARDIA,132000,10/09/2020,,Attiva,S.R.L.
3211.,MEGABIT STORE SRL,IT04217640715,04217640715,FG0310382,04217640715,"CSO ITALIA, 17",Foggia,71045,Puglia,,,,,479110,06/11/2018,,Attiva,S.R.L.
3212.,BIOEDILIZIA CRIPPA S.R.L. IN BREVE BIOEDILIZIA S.R.L.,IT10597950962,10597950962,MI2544184,10597950962,"PZA SANTO STEFANO, 6",Milano,20122,Lombardia,PIAZZA SANTO STEFANO 6,Milano,20122,LOMBARDIA,475230,27/12/2018,,Attiva,S.R.L.
3213.,GESTE SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT03580750838,03580750838,ME0247255,03580750838,"CNT TORRE, ZONA INDUSTRIAL",Messina,98070,Sicilia,CONTRADA TORRE ZONA INDUSTRIALE SNC,Messina,98070,SICILIA,429909,08/08/2019,,Attiva,Società consortile a responsabilita' limitata
3214.,TWO WORLDS CONSULTING SRL,IT15134691003,15134691003,RM1570348,15134691003,"VIA GIOVANNI BATTISTA MARTINI, 2",Roma,00198,Lazio,VIA GIOVANNI BATTISTA MARTINI 2,Roma,00198,LAZIO,620200,12/02/2019,,Attiva,S.R.L.
3215.,THI TOTAL HEALTHCARE INNOVATION SOCIETA' A RESPONSABILITA' LIMITATA,IT15685941005,15685941005,RO0439809,15685941005,"VIA LUIGI EINAUDI, 24",Rovigo,45100,Veneto,VIA DELLA PRODUZIONE 5,Roma,00030,LAZIO,464630,07/04/2020,,Attiva,S.R.L.
3216.,MEYER S.R.L.,IT01768690099,01768690099,SV0210984,01768690099,"VIA DELLE INDUSTRIE, 129",Savona,17012,Liguria,VIA DELLE INDUSTRIE 129,Savona,17012,LIGURIA,412000,27/04/2018,,Attiva,S.R.L.
3217.,NUOVO FUTURO SRL,IT03846060360,03846060360,MO0422574,03846060360,"VIA MAZZONE, 7",Modena,41037,Emilia-Romagna,,,,,471120,30/01/2019,,Attiva,S.R.L.
3218.,ADELASIA S.R.L.,IT11413160968,11413160968,MI2601164,11413160968,"PZA CONTE CAMILLO BENSO DI CAVOUR,",Milano,20121,Lombardia,,,,,351100,29/09/2020,,Attiva,S.R.L.
3219.,FRANCO IORIO SRL,IT03888310368,03888310368,MO0426010,03888310368,"PZA GIUSEPPE MAZZINI, 51",Modena,41121,Emilia-Romagna,,,,,681000,28/10/2019,,Attiva,S.R.L.
3220.,MAGIC SCENT S.R.L.,IT08267150723,08267150723,BA0615856,08267150723,"CSO VITTORIO EMANUELE II, 34",Bari,70122,Puglia,CORSO VITTORIO EMANUELE II 34,Bari,70122,PUGLIA,477510,09/02/2019,,Attiva,S.R.L.
3221.,EP COMMERCIALE S.R.L.,IT06022220658,06022220658,SA0491338,06022220658,"VIA ALCIDE DE GASPERI, 96",Salerno,84016,Campania,,,,,463210,22/06/2021,,Attiva,S.R.L.
3222.,HI-PE S.R.L.,IT05162290281,05162290281,PD0447847,05162290281,"VIA MAGGIORE, 16",Padova,35041,Veneto,,,,,271200,10/09/2018,,Attiva,S.R.L.
3223.,LDP STRADE SOCIETA' A RESPONSABILITA' LIMITATA,IT15618661001,15618661001,RM1602630,15618661001,"VIA CASILINA, 1862",Roma,00132,Lazio,VIA CASILINA 1862,Roma,00132,LAZIO,421100,04/02/2020,,Attiva,S.R.L.
3224.,ITALIA CONTRACT MANAGEMENT SOCIETA' CONSORTILE A R.L.,IT01525590525,01525590525,SI0207469,01525590525,"VIA LEONIDA CIALFI, 27",Siena,53100,Toscana,,,,,432201,17/12/2020,,Attiva,Società consortile a responsabilita' limitata
3225.,FGR INFORMATICA S.R.L.,IT09050681213,09050681213,NA1005079,09050681213,"VIA CAMILLO DE NOTARIS, 10",Napoli,80035,Campania,,,,,951100,18/10/2018,,Attiva,S.R.L.
3226.,MICROPOWER S.R.L. UNIPERSONALE,IT12088170019,12088170019,TO1263573,12088170019,"VIA PAOLO BORSELLINO, 38/16",Torino,10138,Piemonte,,,,,721100,21/03/2019,,Attiva,S.R.L.
3227.,PIEFFE OIL S.R.L.,IT04138080983,04138080983,BS0591385,04138080983,"VIA GIAN BATTISTA CACCIAMALI, 58",Brescia,25125,Lombardia,,,,,467100,22/10/2019,,Attiva,S.R.L.
3228.,CAT INTERNATIONAL LAB S.R.L.S.- SOCIETA' A RESPONSABILITA'LIMITAT A SEMPLIFICATA,IT14686981003,14686981003,RM1538720,14686981003,"VIA DEGLI SCIPIONI, 17",Roma,00192,Lazio,,,,,464210,12/02/2018,,Attiva,S.R.L.
3229.,CO.MA.CO. 51 S.R.L.,IT10611970962,10611970962,MB2546198,10611970962,"VIA NAZIONALE, 254/A",Monza e della Brianza,20823,Lombardia,VIA NAZIONALE 254/A,Monza e della Brianza,20823,LOMBARDIA,475910,11/01/2019,,Attiva,S.R.L.
3230.,INTERMODAL TRAILER SERVICE LIVORNO - SOCIETA' A RESPONSABILITA' LIMITATA,IT01931620494,01931620494,LI0212317,01931620494,"VIA UGIONE, 2/4",Livorno,57121,Toscana,VIA UGIONE 2/4,Livorno,57121,TOSCANA,494100,08/08/2019,,Attiva,S.R.L.
3231.,L.A. CONSULTING S.R.L. IN BREVE CONSULTING S.R.L,IT10311550965,10311550965,MI2522296,10311550965,"PZA GENERALE ARMANDO DIAZ, 5",Milano,20123,Lombardia,CORSO BUENOS AIRES 79,Milano,20124,LOMBARDIA,412000,11/04/2018,,Attiva,S.R.L.
3232.,CERAMICA DOLOMITE S.P.A.,IT05306030262,05306030262,BL0436589,05306030262,"VIA CAVASSICO INFERIORE, 160",Belluno,32026,Veneto,VIA CAVASSICO INFERIORE 160,Belluno,32026,VENETO,234200,08/02/2022,,Attiva,S.P.A.
3233.,QUADRIFOGLIO S.R.L.,IT02920920846,02920920846,AG0215612,02920920846,"VLE CANNATELLO, 36",Agrigento,92100,Sicilia,VIALE CANNATELLO 36,Agrigento,92100,SICILIA,471120,31/10/2018,,Attiva,S.R.L.
3234.,GRIVAN GROUP S.P.A.,IT15835411008,15835411008,RM1617450,15835411008,"VIA DI SAPONARA, 526",Roma,00125,Lazio,VIA DI SAPONARA 526,Roma,00125,LAZIO,432901,10/09/2020,,Attiva,S.P.A.
3235.,INFRAITALIA-FS SOCIETA' A RESPONSABILITA' LIMITATA,IT12078000960,12078000960,MI2638780,12078000960,"VIA PIETRO PALEOCAPA, 1",Milano,20121,Lombardia,,,,,682001,02/11/2021,,Attiva,S.R.L.
3236.,MOMASTELA INTERNATIONAL SRL,IT12019730964,12019730964,MI2634934,12019730964,"VIA DELLA SPIGA, 1",Milano,20121,Lombardia,VIA DELLA SPIGA 1,Milano,20121,LOMBARDIA,467329,22/09/2021,,Attiva,S.R.L.
3237.,LCP IT DC3 S.R.L.,IT11142060968,11142060968,MI2582013,11142060968,"VIA DANTE, 14",Milano,20121,Lombardia,,,,,411000,17/01/2020,,Attiva,S.R.L.
3238.,AGEVOLA 360 S.R.L.,IT11721160965,11721160965,MI2621323,11721160965,"VIA FRANCO RUSSOLI, 6",Milano,20143,Lombardia,,,,,429909,07/04/2021,,Attiva,S.R.L.
3239.,LEM CARNI S.R.L.,IT03825431202,03825431202,BO0549184,03825431202,"VIA MELUZZA, 24",Bologna,40060,Emilia-Romagna,,,,,463210,25/10/2019,,Attiva,S.R.L.
3240.,SAN MARCO SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT01759610627,01759610627,BN0146102,01759610627,"VIA EX S.S. 372 ZONA INDUSTRIA, SNC",Benevento,82030,Campania,,,,,421100,21/01/2020,,Attiva,Società consortile a responsabilita' limitata
3241.,KARTARI S.R.L.,IT05289500281,05289500281,PD0457613,05289500281,"VIA JACOPO FACCIOLATI, 112/B",Padova,35127,Veneto,,,,,412000,30/04/2020,,Attiva,S.R.L.
3242.,ECOSCHINO SOCIETA' A RESPONSABILITA' LIMITATA,IT08138480721,08138480721,BA0606866,08138480721," S.P.231 KM. 77+800, 6",Bari,70032,Puglia,STRADA PROVINCIALE 231 ANDRIESE-CORATINA 6,Bari,70032,PUGLIA,381000,23/02/2018,,Attiva,S.R.L.
3243.,TRANSPORT S.R.L.,IT02666240201,02666240201,MN0270609,02666240201,"PZA GIUSEPPE VERDI, 5",Mantova,46048,Lombardia,,,,,494100,14/02/2022,,Attiva,S.R.L.
3244.,LAFORGIA RENOVA SOCIETA' A RESPONSABILITA' LIMITATA,IT08470610729,08470610729,BA0628883,08470610729,"VIA GIORGIO LA PIRA, 42",Bari,70015,Puglia,,,,,412000,06/08/2020,,Attiva,S.R.L.
3245.,FERRANIA CHEMICALS S.R.L.,IT01771860093,01771860093,SV0211617,01771860093,"VLE DELLA LIBERTA', 57",Savona,17014,Liguria,VIALE DELLA LIBERTA' 57,Savona,17014,LIGURIA,211000,13/06/2018,,Attiva,S.R.L.
3246.,CONSORZIO STABILE INFRAVIA S.C.A.R.L.,IT02233860689,02233860689,PE0403948,02233860689,"VIA TAVO, 116",Pescara,65128,Abruzzo,,,,,421100,27/08/2018,,Attiva,Società consortile a responsabilita' limitata
3247.,N-AND ITALIA SRL,IT04327810166,04327810166,BG0454389,04327810166,"VIA DELLE GERE, 15",Bergamo,24040,Lombardia,VIA DELLE GERE 15,Bergamo,24040,LOMBARDIA,261200,08/10/2018,,Attiva,S.R.L.
3248.,IR SERVICE SRL,IT16031821008,16031821008,NA1074350,16031821008,"VIA SAN GIACOMO, 30",Napoli,80133,Campania,,,,,465100,04/02/2021,,Attiva,S.R.L.
3249.,VENTURA SUPERMERCATI S.R.L.,IT16645701000,16645701000,RM1667823,16645701000,"VLE LUIGI SCHIAVONETTI, 270",Roma,00173,Lazio,VIA RAFFAELE CIASCA 72,Roma,00155,LAZIO,471120,30/03/2022,,Attiva,S.R.L.
3250.,VOGE ITALIA S.R.L.,IT04144810985,04144810985,BS0591950,04144810985,"VLE ALCIDE DE GASPERI, 7",Brescia,25080,Lombardia,VIALE ALCIDE DE GASPERI 7,Brescia,25080,LOMBARDIA,454011,20/11/2019,,Attiva,S.R.L.
3251.,REVO S.P.A.,IT04713460238,04713460238,VR0442974,04713460238,"VIA STRA', 154",Verona,37030,Veneto,VIA STRA' 154,Verona,37030,VENETO,201600,05/05/2020,,Attiva,S.P.A.
3252.,NEW ECONOMY GROUP S.R.L.,IT09338571210,09338571210,NA1024944,09338571210,"VLE ANTONIO GRAMSCI, 17/B",Napoli,80122,Campania,,,,,464430,07/10/2019,,Attiva,S.R.L.
3253.,CASA DI CURA DI NEPI S.R.L.,IT15037481007,15037481007,RM1564607,15037481007,"VIA DI VAL CANNUTA, 247",Roma,00166,Lazio,VIA CASSIA,Viterbo,01036,LAZIO,861020,20/12/2018,,Attiva,S.R.L.
3254.,DISCOUNT OTTO - SOCIETA' A RESPONSABILITA' LIMITATA,IT15391321005,15391321005,RM1587520,15391321005,"VIA BIAGIO PETROCELLI, 240",Roma,00173,Lazio,,,,,471130,07/08/2019,,Attiva,S.R.L.
3255.,ANTICA JULIA S.R.L.,IT03683440543,03683440543,PG0306661,03683440543,"VIA ROMANA, 43",Perugia,06081,Umbria,VIA RAFFAELLO SNC SANTA,Perugia,06081,UMBRIA,107300,29/04/2019,,Attiva,S.R.L.
3256.,APPAREL 62 SRL,IT05396130287,05396130287,PD0464515,05396130287,"VIA MATTEI, 1",Padova,35020,Veneto,VIA ENRICO BERNARDI 1,Padova,35030,VENETO,464210,16/07/2021,,Attiva,S.R.L.
3257.,INVERTO ITALY S.R.L.,IT12346980969,12346980969,MI2655458,12346980969,"VIA UGO FOSCOLO, 1",Milano,20121,Lombardia,,,,,702209,28/03/2022,,Attiva,S.R.L.
3258.,ADRITRANSPORT S.R.L.,IT01819700707,01819700707,CB0207305,01819700707,"VIA MONTECARLO, 17",Campobasso,86039,Molise,,,,,494100,14/03/2019,,Attiva,S.R.L.
3259.,GB HOTELS S.R.L.,IT14646341009,14646341009,RM1535622,14646341009,"VIA TRONTO, 3",Roma,00198,Lazio,VIA ANTONIO BERTOLONI 44,Roma,00197,LAZIO,791200,02/02/2018,,Attiva,S.R.L.
3260.,IRGEN EDILIZIA S.R.L.,IT12151190969,12151190969,MI2644302,12151190969,"VIA CHIOSSETTO, 7",Milano,20122,Lombardia,VIA CHIOSSETTO 7,Milano,20122,LOMBARDIA,412000,30/12/2021,,Attiva,S.R.L.
3261.,UNBOUND S.R.L.,IT11066500965,11066500965,MI2577697,11066500965,"VIA MARZABOTTO, 6",Milano,20151,Lombardia,VIA MARZABOTTO 6,Milano,20151,LOMBARDIA,477110,10/12/2019,,Attiva,S.R.L.
3262.,GLF COSTRUZIONI E PROGETTAZIONI S.R.L.,IT06885060829,06885060829,PA0422702,06885060829,"VIA DANTE ALIGHIERI, 79",Palermo,90011,Sicilia,,,,,412000,10/07/2020,,Attiva,S.R.L.
3263.,SOLARYS I.S. S.R.L.,IT02326770514,02326770514,AR0178391,02326770514,"VIA DON LUIGI STURZO, 14",Arezzo,52100,Toscana,VIA DON LUIGI STURZO 14,Arezzo,52100,TOSCANA,432101,16/10/2018,,Attiva,S.R.L.
3264.,HOWAY SRL,IT04021010980,04021010980,BS0582244,04021010980,"VIA PIETRO NENNI, 18",Brescia,25124,Lombardia,VIA PIETRO NENNI 18,Brescia,25124,LOMBARDIA,855920,24/07/2018,,Attiva,S.R.L.
3265.,FALCOTEX S.R.L.,IT03980640985,03980640985,BS0579119,03980640985,"VIA ARTIGIANALE, 18",Brescia,25020,Lombardia,,,,,141310,21/02/2018,,Attiva,S.R.L.
3266.,SIRMIONE - S.R.L.,IT15669731000,15669731000,RM1606534,15669731000,"VIA SAVOIA, 78",Roma,00198,Lazio,VIA SAVOIA 78,Roma,00198,LAZIO,471120,06/03/2020,,Attiva,S.R.L.
3267.,STEMA SRL,IT04160880243,04160880243,VI0383771,04160880243,"VIA BORTOLO SACCHI, 42",Vicenza,36061,Veneto,VIA BORTOLO SACCHI 42,Vicenza,36061,VENETO,620200,11/06/2018,,Attiva,S.R.L.
3268.,SE.TRA. LOGISTICA SRL,IT15583021009,15583021009,RM1600327,15583021009,"VIA DELL'AMBA ARADAM, 22",Roma,00184,Lazio,,,,,494100,10/01/2020,,Attiva,S.R.L.
3269.,AUTO HOFER SALES SRL,IT03015340213,03015340213,BZ0224631,03015340213,"LOC PRATO DELL'OSPIZIO, 21",Bolzano/Bozen,39043,Trentino-Alto Adige/Südtirol,LOCALITA' PRATO DELL'OSPIZIO 21,Bolzano/Bozen,39043,TRENTINO-ALTO,451101,04/12/2018,,Attiva,S.R.L.
3270.,THIS IS HELLO S.R.L.,IT10742940967,10742940967,MI2554483,10742940967,"VIA SANNIO, 3",Milano,20137,Lombardia,,,,,731102,19/03/2019,,Attiva,S.R.L.
3271.,ENEXT S.R.L.,IT07039380485,07039380485,FI0675109,07039380485,"LGO GUIDO NOVELLO, 1",Firenze,50126,Toscana,LARGO GUIDO NOVELLO 1/C,Firenze,50126,TOSCANA,465100,24/09/2020,,Attiva,S.R.L.
3272.,BOLOGNA STRADE SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT03825311206,03825311206,BO0549163,03825311206,"VIA UBALDO POLI, 4",Bologna,40069,Emilia-Romagna,VIA UBALDO POLI 4,Bologna,40069,EMILIA-ROMAGNA,421100,22/10/2019,,Attiva,Società consortile a responsabilita' limitata
3273.,A.T. DISTRIBUZIONI S.R.L.,IT09572941210,09572941210,NA1041984,09572941210,"VIA CROCELLE, 73",Napoli,80039,Campania,,,,,463410,03/09/2020,,Attiva,S.R.L.
3274.,DREAM OF ORDINARY MADNESS ENTERTAINMENT S.R.L. IN SIGLA O IN BR EVE DOOM ENTER,IT11242080965,11242080965,MI2589517,11242080965,"VIA ALFONSO LAMARMORA, 26",Milano,20122,Lombardia,,,,,900209,17/04/2020,,Attiva,S.R.L.
3275.,MEDITERRANEA GENERAL SHIP SUPPLY S.R.L.,IT15477291007,15477291007,RM1593419,15477291007,"PZA BUENOS AIRES, 14",Roma,00198,Lazio,,,,,469000,25/10/2019,,Attiva,S.R.L.
3276.,BORA 01 SRL,IT01371940329,01371940329,TS0209480,01371940329,"PZA SAN GIOVANNI, 2",Trieste,34122,Friuli-Venezia Giulia,,,,,412000,19/01/2022,,Attiva,S.R.L.
3277.,DUOMO 21 S.R.L.,IT10188000961,10188000961,MI2512149,10188000961,"PZA DEL DUOMO, 21",Milano,20121,Lombardia,PIAZZA DEL DUOMO 21,Milano,20121,LOMBARDIA,561011,18/01/2018,,Attiva,S.R.L.
3278.,BETRA SOCIETA' A RESPONSABILITA' LIMITATA,IT06857400821,06857400821,PA0420917,06857400821,"VIA FRANCESCO GUARDIONE, 18",Palermo,90139,Sicilia,VIA FRANCESCO GUARDIONE 18,Palermo,90139,SICILIA,451101,28/02/2020,,Attiva,S.R.L.
3279.,CHRYSAS S.C. A R.L.,IT03087580308,03087580308,UD0366225,03087580308,"VIA BUTTRIO, 36",Udine,33050,Friuli-Venezia Giulia,,,,,421200,18/11/2022,,Attiva,Società consortile a responsabilita' limitata
3280.,DOMOTIC WEB SRL,IT04844510232,04844510232,RM1739197,04844510232,"VIA MAURIZIO BUFALINI, 8",Roma,00161,Lazio,,,,,620100,15/09/2021,,Attiva,S.R.L.
3281.,LA RUSTICHELLA WORLD WIDE S.R.L. SOCIETA A RESPONSABILITA LIMITATA,IT14949611009,14949611009,RM1558252,14949611009,"VIA SALARIA, 290",Roma,00199,Lazio,VIA SALARIA 290,Roma,00199,LAZIO,463890,04/10/2018,,Attiva,S.R.L.
3282.,BIOMAR S.R.L.,IT06966760487,06966760487,FI0669699,06966760487,"VLE BELFIORE, 20",Firenze,50144,Toscana,VIA TRENTO 16,Firenze,50139,TOSCANA,205940,21/10/2019,,Attiva,S.R.L.
3283.,I-SOLD S.R.L.,IT04972850269,04972850269,TV0414925,04972850269,"VIA LODOVICO FIUMICELLI, 3",Treviso,31100,Veneto,,,,,411000,11/10/2018,,Attiva,S.R.L.
3284.,DG STORE S.R.L.,IT02997860594,02997860594,LT0215877,02997860594,"VIA FIUME, 2-12",Latina,04011,Lazio,VIA FIUME 2-12,Latina,04011,LAZIO,471120,16/07/2018,,Attiva,S.R.L.
3285.,EVP II CAVALLINO OPCO S.R.L.,IT12266940969,12266940969,MI2650424,12266940969,"VIA FABIO FILZI, 25/A",Milano,20124,Lombardia,,,,,553000,17/02/2022,,Attiva,S.R.L.
3286.,A2A INTEGRAMBIENTE S.R.L.,IT04004880987,04004880987,BS0580789,04004880987,"VIA ALESSANDRO LAMARMORA, 230",Brescia,25124,Lombardia,,,,,381100,14/05/2018,,Attiva,S.R.L.
3287.,QUALIS EUROPE S.R.L.,IT11051610969,11051610969,MI2575808,11051610969,"VIA MORIGI, 7",Milano,20123,Lombardia,VIA MORIGI 7,Milano,20123,LOMBARDIA,662202,12/11/2019,,Attiva,S.R.L.
3288.,GASOIL S.R.L.,IT01292770862,01292770862,EN0428200,01292770862,"FRZ VALLE DEL DITTAINO, S.N.C.",Enna,94010,Sicilia,,,,,467100,25/05/2021,,Attiva,S.R.L.
3289.,CAMERA ARBITRALE DI MILANO S.R.L.,IT97425550155,97425550155,MI1798576,05121020969,"VIA MERAVIGLI, 9/B",Milano,20123,Lombardia,VIA MERAVIGLI 9/B,Milano,20123,LOMBARDIA,749099,25/03/2019,,Attiva,S.R.L.
3290.,COMPAL SRL,IT03796850125,03796850125,VA0379687,03796850125,"LGO GUIDO CAMUSSI, 5",Varese,21013,Lombardia,LARGO GUIDO CAMUSSI 5,Varese,21013,LOMBARDIA,682002,03/11/2020,,Attiva,S.R.L.
3291.,PROGETTO 17 S.R.L.,IT12228160961,12228160961,MI2647825,12228160961,"PZA ARCOLE, 4",Milano,20143,Lombardia,PIAZZA ARCOLE 4,Milano,20143,LOMBARDIA,479110,26/01/2022,,Attiva,S.R.L.
3292.,SCU.TER - SCUOLA TERRITORIO SOCIETA' COOPERATIVA SOCIALE,IT03699741207,03699741207,BO0539665,03699741207,"VIA PAOLO BOVI CAMPEGGI, 2/4 E",Bologna,40131,Emilia-Romagna,,,,,889900,04/04/2018,,Attiva,S.C.A.R.L.P.A.
3293.,AZIMUT CAPITAL TECH S.R.L.,IT11283500962,11283500962,MI2591766,11283500962,"VIA CUSANI, 4",Milano,20121,Lombardia,,,,,620200,28/05/2020,,Attiva,S.R.L.
3294.,ISEO MARKET S.R.L.,IT04302950987,04302950987,BS0604304,04302950987,"VIA PAOLO VI, 52",Brescia,25049,Lombardia,VIA PAOLO VI 52,Brescia,25049,LOMBARDIA,471120,27/07/2021,,Attiva,S.R.L.
3295.,SIDEROS MACHINERY SRL,IT01762440335,01762440335,PC0189409,01762440335,"VIA UGO FOSCOLO, 16/18",Piacenza,29027,Emilia-Romagna,VIA UGO FOSCOLO 16/18,Piacenza,29027,EMILIA-ROMAGNA,282209,21/05/2018,,Attiva,S.R.L.
3296.,A2A SERVICES & REAL ESTATE S.P.A.,IT12909570967,12909570967,MI2691707,12909570967,"CSO DI PORTA VITTORIA, 4",Milano,20122,Lombardia,,,,,821101,11/04/2023,,Attiva,S.P.A.
3297.,CGZ CONDOGREENZERO S.R.L.,IT12476500967,12476500967,MI2664480,12476500967,"VLE BACCHIGLIONE, 28",Milano,20139,Lombardia,,,,,412000,28/06/2022,,Attiva,S.R.L.
3298.,DMR S.R.L.,IT12063740968,12063740968,MI2638222,12063740968,"VIA BRERA, 17",Milano,20121,Lombardia,,,,,732000,21/10/2021,,Attiva,S.R.L.
3299.,GEMMIR GROUP S.R.L.,IT09022001219,09022001219,NA1002636,09022001219,"VIA VINCENZO D'ANNIBALE, 5",Napoli,80129,Campania,VIA VINCENZO D'ANNIBALE 5,Napoli,80129,CAMPANIA,471120,11/09/2018,,Attiva,S.R.L.
3300.,BAT TRIESTE S.P.A.,IT01371410323,01371410323,TS0209421,01371410323, BAGNOLI DELLA ROSANDRA,Trieste,34018,Friuli-Venezia Giulia,LOCALITA' BAGNOLI DELLA ROSANDRA SNC,Trieste,34018,FRIULI-VENEZIA,120000,12/01/2022,,Attiva,S.P.A.
3301.,DESMAR SRL,IT03065120598,03065120598,LT0221027,03065120598,"VIA SAN CARLO DA SEZZE, 40",Latina,04100,Lazio,VIA SAN CARLO DA SEZZE 40,Latina,04100,LAZIO,471120,30/10/2019,,Attiva,S.R.L.
3302.,ZNS ITALY S.R.L.,IT04245590247,04245590247,VI0390299,04245590247,"VIA XXV APRILE, 19",Vicenza,36073,Veneto,,,,,467610,06/11/2019,,Attiva,S.R.L.
3303.,REBAT SRL,IT02332520507,02332520507,PI0199203,02332520507,"VIA NUOVA PROVINCIALE FRANCESCA, 21",Pisa,56029,Toscana,VIA NUOVA PROVINCIALE FRANCESCA 21 E-21 F,Pisa,56029,TOSCANA,381200,02/04/2019,,Attiva,S.R.L.
3304.,AMBLIN NUEVA EUROPA ITALIA S.R.L.,IT15377161003,15377161003,RM1586371,15377161003,"VIA MAURIZIO BUFALINI, 8",Roma,00161,Lazio,,,,,464210,26/07/2019,,Attiva,S.R.L.
3305.,DECAL ITALIA S.P.A.,IT01745260198,01745260198,CR0198194,01745260198,"VIA TRIBOLDI PIETRO, 4",Cremona,26015,Lombardia,VIA TRIBOLDI PIETRO 4,Cremona,26015,LOMBARDIA,521010,02/03/2021,,Attiva,S.P.A.
3306.,C.M. CHIMICA S.R.L.,IT01945780474,01945780474,PT0193187,01945780474,"VIA COLMATE DEL CERRO, 95",Pistoia,51019,Toscana,VIA COLMATE DEL CERRO 95,Pistoia,51019,TOSCANA,467502,15/06/2018,,Attiva,S.R.L.
3307.,SALIS04 S.R.L.,IT04051080366,04051080366,MO0439006,04051080366,"STR VIGNOLESE, 1175",Modena,41126,Emilia-Romagna,,,,,463210,17/10/2022,,Attiva,S.R.L.
